ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
105,"同安环东海域滨富一里1-8,滨富二里1-16号保利叁仟栋壹海里",118.14989669128387,24.64068173725055,28761,360,125.17,4,2,2,东南,5.0,0,,高层,46.0,1,0,4,10,10
106,翔安新店祥福五里1-22号汇景新城中心,118.23902849822646,24.622694428023898,16361,140,85.57,2,2,1,南,12.0,0,满二年,低层,17.0,0,2,2,4,10
107,翔安新店洪前北里1-9号禹洲卢卡小镇(公寓住宅),118.25909335939751,24.595316033627515,15792,148,93.72,2,2,1,南北,8.0,0,满二年,中层,35.0,0,1,10,9,10
108,思明前埔前埔东一里17-32号华林东盛花园二期,118.16941504739884,24.478253920092218,46186,336,72.75,2,2,1,南北,18.0,1,满五年,高层,11.0,0,1,10,10,10
109,"湖里湖边水库片区观日西二里10-12,28-36号世茂湖滨首府(D区)",118.1650891037675,24.492220120757107,49042,816,166.39,4,2,2,南,9.0,1,满二年,低层,32.0,2,2,10,10,10
110,思明东浦路东浦路75-79号东浦花园,118.12230520074924,24.474924098274215,43097,358,83.07,3,1,1,东北,16.0,1,,高层,17.0,4,4,10,10,10
111,集美集美新城诚毅西路372-388号建发央著(二期),118.0394426689587,24.60586643460763,44087,460,104.34,3,2,2,南,3.0,1,满二年,高层,33.0,0,0,2,9,10
112,湖里湖里大道悦华路163-193号龙腾花园(一期),118.11120828357231,24.518037871226834,28885,290,100.4,3,2,1,南,21.0,1,满五年,中层,8.0,2,3,10,10,10
113,思明文灶汇文路51-57号城市花园,118.10069917049566,24.470374520615003,61126,628,102.74,4,2,2,西南,24.0,1,满五年,中层,30.0,1,3,10,10,10
114,湖里五缘湾运动馆五缘东二里1-17号国贸蓝海(公寓住宅),118.18004168684332,24.530031443808923,48466,900,185.7,4,2,2,西北,16.0,0,,低层,21.0,1,1,0,10,10
115,思明湖滨北路凤凰西里1-4号禹洲世纪海湾,118.07833665436209,24.481381219324565,69789,690,98.87,3,2,2,北,16.0,1,满二年,中层,37.0,0,1,0,10,10
116,思明禾祥东路禾祥东路172-188号源昌广场,118.11099209727001,24.47431752284558,52025,568,109.18,3,2,2,南,18.0,1,满五年,低层,17.0,3,3,10,10,10
117,翔安隧道口浦园一里22-39号明发半岛祥湾(B区),118.22864769318451,24.56725111620209,18629,170,91.26,3,2,1,南北,10.0,0,,高层,17.0,1,1,3,10,9
118,思明中山路霞溪路173-187号思东商厦,118.0754958573595,24.459644752271153,56614,550,97.15,2,2,1,南北,26.0,1,满五年,高层,12.0,0,0,0,0,0
119,思明火车站厦禾路945-947号官邸大厦,118.11315294141497,24.47485120335209,66469,335,50.4,2,2,2,南北,24.0,1,满二年,中层,17.0,4,4,10,10,10
120,集美集美新城九天湖五里1-28号中航城国际社区(C区西区),118.04204251354945,24.597332230260164,34268,335,97.76,3,2,2,南,10.0,1,满五年,高层,26.0,0,0,4,10,10
121,海沧海沧生活区沧翔路58-80号天乙广场,118.02581194954519,24.497329876693506,21284,138,64.84,2,1,1,南北,21.0,1,,高层,8.0,0,0,3,10,10
122,湖里祥店祥店里80-108号国贸阳光,118.13879144092438,24.50519941416176,47087,598,127,3,2,2,南,18.0,1,满五年,中层,11.0,2,2,10,10,10
123,思明槟榔槟榔西里14-146号槟榔西里双号区,118.10695502843,24.482393988440435,91581,558,60.93,3,2,1,南,35.0,1,满五年,低层,7.0,3,5,10,10,10
124,思明松柏湖滨北路175-181号英皇湖畔花苑,118.11851440167884,24.491642779004827,53867,746,138.49,3,2,2,北,16.0,1,满五年,高层,29.0,3,6,10,10,10
125,思明禾祥西路禾祥西路234-244号万禾花园,118.08951621235853,24.469342111002263,54463,368,67.57,3,2,1,南北,21.0,1,满五年,高层,7.0,0,5,10,10,10
126,湖里江头双浦东里1-9号筼筜温莎公馆,118.13581185761018,24.50016186163661,46086,578,125.42,3,2,2,南北,8.0,1,满五年,高层,30.0,3,3,10,10,10
127,思明将军祠文园路29-49号橡胶新村,118.09848678444708,24.466490517040555,61277,435,70.99,3,1,1,南北,41.0,1,满五年,中层,7.0,2,3,10,10,10
128,思明火车站厦禾路1084-1088号元利花园(西区),118.11486279647342,24.474072126130558,50527,398,78.77,2,2,1,东南,22.0,1,满五年,低层,8.0,4,3,10,10,10
129,思明禾祥西路厦禾路261-271号源昌国际城(二期),118.0760784469738,24.46360905237552,63392,880,138.82,3,2,2,南北,17.0,1,满五年,低层,28.0,0,4,10,10,10
130,湖里五缘湾南区日圆四里1-8号中央湾区琥珀湾,118.15694402772684,24.521857941400583,68547,778,113.5,3,2,3,南北,11.0,1,满五年,高层,30.0,2,0,10,10,10
131,"思明白鹭洲天湖路48,50号天湖苑",118.08585365929432,24.472011783390972,45582,588,129,4,2,2,西南,27.0,1,,低层,29.0,0,2,10,10,10
132,思明松柏屿浦路6-10号福利院宿舍,118.11604567905167,24.496639372766108,45613,275,60.29,2,1,1,南北,21.0,1,满二年,高层,7.0,3,3,10,10,10
133,集美杏北路杏北五里57-91号国贸天悦(二期),118.04529332381894,24.583003215042403,33033,428,129.57,3,2,2,南北,5.0,1,满二年,低层,32.0,2,3,10,10,10
134,厦门周边龙池开发区龙池商业街11号瑞鑫佳园,118.12372664369771,24.51566566250459,8606,50,58.1,3,2,1,南北,9.0,0,满五年,中层,7.0,3,5,10,10,10
135,翔安新店洪琳湖二里2-38号首开领翔花郡,118.23659063337496,24.605666758685846,21827,292,133.78,3,2,2,南北,10.0,0,满五年,中层,6.0,0,0,1,4,10
136,翔安马巷舫阳西一里1-108号万科金色悦城,118.25681509076068,24.662206749494832,15638,115,73.54,2,2,1,南,14.0,0,满五年,低层,35.0,0,3,4,10,10
137,思明将军祠阳台山路2号之1-之9中行宿舍,118.0963905170455,24.46113634113398,59321,520,87.66,2,2,1,南北,24.0,1,满五年,低层,7.0,2,6,10,10,10
138,思明禾祥东路金榜路61-67号凯旋广场,118.10505026551645,24.471609660532984,55046,558,101.37,3,2,2,南北,24.0,1,满二年,高层,31.0,2,1,10,10,10
139,湖里殿前长乐路263-307号(单号)长乐村一期,118.09798213395008,24.523407171426367,34723,175,50.4,2,2,1,南,26.0,1,,高层,7.0,0,0,5,6,10
140,集美集美新城杏北八里35-42号国贸天峯,118.04996989801369,24.58513575549836,37814,368,97.32,3,2,2,南,6.0,1,满二年,中层,34.0,2,4,8,10,10
141,"翔安翔安新城浦滨路,洞庭路国贸学原(一二期)",118.25288536786623,24.575780251739058,34634,365,105.39,3,2,2,南,2.0,1,,低层,34.0,1,1,5,10,10
142,思明东浦路厦禾路1126号富兴大厦,118.11506109300895,24.475872929753628,42407,518,122.15,4,2,2,南北,20.0,1,满五年,低层,28.0,4,4,10,10,10
143,湖里殿前长浩二里1-65号翔鹭花城三期,118.09902511360515,24.529384750770795,36109,203,56.22,2,1,1,南,15.0,1,满五年,高层,14.0,0,0,5,8,10
144,湖里湖里大道华荣路178-188号铭爵山庄,118.10322953771963,24.520358440939937,34159,160,46.84,2,1,1,北,23.0,1,满五年,中层,15.0,0,0,8,10,10
145,湖里南山宜宾路62-84号万景花园,118.10492543412066,24.508407125058206,36112,500,138.46,4,2,2,南,26.0,1,满五年,低层,7.0,1,1,10,10,10
146,"思明松柏侨岳里11-16,34-54号侨建花园(东区)",118.11010899500317,24.49701631866732,36638,299,81.61,3,1,1,南,28.0,1,满五年,低层,8.0,2,1,10,10,10
147,湖里东渡东渡路100号源昌大厦,118.07608585016888,24.489188929325923,42790,508,118.72,3,2,2,东南,18.0,1,满二年,低层,30.0,1,0,0,10,10
148,翔安新店洪琳湖一里1-28号首开领翔国际(一期),118.23666039367967,24.609402993387093,16195,198,122.26,3,2,2,南北,11.0,0,满二年,高层,27.0,0,0,1,5,10
149,湖里湖边水库片区金益三里1-14号湖边花园A区,118.17090845345139,24.505571608670884,48931,350,71.53,3,2,1,南北,14.0,0,,低层,31.0,0,2,4,10,10
150,思明禾祥西路禾祥西路116-182号美仁新村南区,118.08478391091802,24.46826126323823,48415,539,111.33,3,1,1,南北,32.0,1,满二年,低层,7.0,0,4,10,10,10
151,翔安新店祥吴一里1-10号美地雅登祥吴一里,118.23525361103268,24.628483469980605,18810,145,77.09,2,2,1,南,15.0,0,满五年,高层,25.0,0,0,2,3,10
152,翔安翔安新城浦滨西二里1-21号国贸学原(三期),118.25029336616436,24.577670478842183,35640,255,71.55,2,2,1,南,2.0,1,,低层,34.0,1,1,6,10,10
153,湖里吕厝江头西路1-19号新景园,118.12479515470751,24.49506257335558,43744,588,134.42,4,2,2,南,19.0,1,满二年,高层,29.0,2,3,10,10,10
